view_id,type,title,abstract
"MX-8C214-22C3A-82165","rt","Cyclone surge exposure - 2022","This dataset includes an estimation of the annual physical exposition to surges from cyclones. It is based on three sources:

1) COAST-RP: A global COastal dAtaset of Storm Tide Return Periods.
Storm surges that occur along low-lying, densely populated coastlines can leave devastating societal, economical, and ecological impacts. To protect coastal communities from flooding, return periods of storm tides, defined as the combination of the surge and tide, must be accurately evaluated. Here we pre"
"MX-25384-3C43A-93E60","rt","Cyclone surge frequency - 2022","This dataset includes a frequency estimate of surges triggered by tropical and extra tropical cyclone. It is based on:

COAST-RP: A global COastal dAtaset of Storm Tide Return Periods.

Storm surges that occur along low-lying, densely populated coastlines can leave devastating societal, economical, and ecological impacts. To protect coastal communities from flooding, return periods of storm tides, defined as the combination of the surge and tide, must be accurately evaluated. Here we present sto"
"MX-DC56E-6ABC9-3C768","rt","Forest protection opportunities to reduce flood risk - 2022","This dataset shows the areas where forest protection (open and closed forests, as well as woodlands) could be undertaken for reducing flood physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-A7781-1FA23-CDE78","rt","Forest protection opportunities to reduce flood risk - 2022 - National","This dataset shows the areas where forest protection (open and closed forests, as well as woodlands) could be undertaken for reducing flood physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-CB997-268C8-BFB7F","rt","Forest protection opportunities to reduce landslide risk - 2022","This dataset shows the areas where forest protection (open and closed forests, as well as woodlands) could be undertaken for reducing landslide physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-5D80D-26EC9-6D87B","rt","Forest protection opportunities to reduce landslide risk - 2022 - National","This dataset shows the areas where forest protection (open and closed forests, as well as woodlands) could be undertaken for reducing landslide physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-E01AB-69635-3EB75","rt","Forest protection opportunities to reduce tropical cyclone risk - 2022","This dataset shows the areas where forest protection (open and closed forests, as well as woodlands) could be undertaken for reducing tropical cyclone physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-47F35-25D94-C687C","rt","Forest protection opportunities to reduce tropical cyclone risk - 2022 - National","This dataset shows the areas where forest protection (open and closed forests, as well as woodlands) could be undertaken for reducing tropical cyclone physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-0F356-73AC3-A1F74","rt","Forest protection opportunities to reduce tropical cyclone surge risk - 2022","This dataset shows the areas where forest protection (open and closed forests, as well as woodlands) could be undertaken for reducing flood physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-2DEBF-CAA08-A0371","rt","Forest protection opportunities to reduce tropical cyclone surge risk - 2022 - National","This dataset shows the areas where forest protection (open and closed forests, as well as woodlands) could be undertaken for reducing flood physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-54C18-D2FF5-B8E7F","rt","Forest protection opportunities to reduce tsunami risk - 2022","This dataset shows the areas where forest protection (open and closed forests, as well as woodlands) could be undertaken for reducing tsunami physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-3194C-B541D-F4A7A","rt","Forest protection opportunities to reduce tsunami risk - 2022 - National","This dataset shows the areas where forest protection (open and closed forests, as well as woodlands) could be undertaken for reducing tsunami physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-89B6F-5F74E-7CF73","rt","Forest restoration opportunities to reduce flood risk - 2022","This dataset shows the areas where forest restoration (open and closed forests, as well as woodlands) could be undertaken for reducing flood exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-10BD7-E0558-D986E","rt","Forest restoration opportunities to reduce flood risk - 2022 - National","This dataset shows the areas where forest restoration (open and closed forests, as well as woodlands) could be undertaken for reducing flood exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-E7F69-8D9C6-A496A","rt","Forest restoration opportunities to reduce landslide risk - 2022","This dataset shows the areas where forest restoration (open and closed forests, as well as woodlands) could be undertaken for reducing landslide exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-0E3D6-C78BA-24067","rt","Forest restoration opportunities to reduce landslide risk - 2022 - National","This dataset shows the areas where forest restoration (open and closed forests, as well as woodlands) could be undertaken for reducing landslide exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-E2EB9-D1FB2-0CC7F","rt","Forest restoration opportunities to reduce tropical cyclone risk - 2022","This dataset shows the areas where forest restoration (open and closed forests, as well as woodlands) could be undertaken for reducing tropical cyclone exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-61442-49345-E6668","rt","Forest restoration opportunities to reduce tropical cyclone risk - 2022 - National","This dataset shows the areas where forest restoration (open and closed forests, as well as woodlands) could be undertaken for reducing tropical cyclone exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-2F1C3-73E46-F3166","rt","Forest restoration opportunities to reduce tropical cyclone surge risk - 2022","This dataset shows the areas where forest restoration (open and closed forests, as well as woodlands) could be undertaken for reducing tropical cyclone surge exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-8B64F-97196-4DB70","rt","Forest restoration opportunities to reduce tropical cyclone surge risk - 2022 - National","This dataset shows the areas where forest restoration (open and closed forests, as well as woodlands) could be undertaken for reducing tropical cyclone surge exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-66C39-FA9A0-59D7C","rt","Forest restoration opportunities to reduce tsunami risk - 2022","This dataset shows the areas where forest restoration (open and closed forests, as well as woodlands) could be undertaken for reducing tsunami exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-81BE2-41457-12A6F","rt","Forest restoration opportunities to reduce tsunami risk - 2022 - National","This dataset shows the areas where forest restoration (open and closed forests, as well as woodlands) could be undertaken for reducing tsunami exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-635F9-39E97-61C74","rt","Forest to reduce flood risk - Others  - 2022","This dataset shows additional areas where forest protection or restoration (open and closed forests, as well as woodlands) could be undertaken for reducing flood risk; with more uncertainty than the associated 'protection' and 'restoration' datasets. 
Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for instan"
"MX-9EC6A-F4647-8677D","rt","Forest to reduce flood risk - Others  - 2022 - National","This dataset shows additional areas where forest protection or restoration (open and closed forests, as well as woodlands) could be undertaken for reducing flood risk; with more uncertainty than the associated 'protection' and 'restoration' datasets. 
Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for instan"
"MX-67C71-405B2-1697F","rt","Forest to reduce landslide risk - Others - 2022","This dataset shows additional areas where forest protection or restoration (open and closed forests, as well as woodlands) could be undertaken for reducing landslide risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.
Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for ins"
"MX-AF28A-0F87A-19764","rt","Forest to reduce landslide risk - Others - 2022 - National","This dataset shows additional areas where forest protection or restoration (open and closed forests, as well as woodlands) could be undertaken for reducing landslide risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.
Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for ins"
"MX-BBBBE-B1956-F2A7A","rt","Forest to reduce tropical cyclone risk - Others - 2022","This dataset shows additional areas where forest protection or restoration (open and closed forests, as well as woodlands) could be undertaken for reducing tropical cyclone risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.

Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas,"
"MX-D1A78-ED0CF-A9676","rt","Forest to reduce tropical cyclone risk - Others - 2022 - National","This dataset shows additional areas where forest protection or restoration (open and closed forests, as well as woodlands) could be undertaken for reducing tropical cyclone risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.

Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas,"
"MX-863B2-21D7C-61D76","rt","Forest to reduce tropical cyclone surge risk - Others - 2022","This dataset shows additional areas where forest protection or restoration (open and closed forests, as well as woodlands) could be undertaken for reducing tropical cyclone surge risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.
Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream a"
"MX-ECACD-C55BA-D4973","rt","Forest to reduce tropical cyclone surge risk - Others - 2022 - National","This dataset shows additional areas where forest protection or restoration (open and closed forests, as well as woodlands) could be undertaken for reducing tropical cyclone surge risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.
Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream a"
"MX-9CDDE-43148-2737C","rt","Forest to reduce tsunami risk - Others - 2022","This dataset shows additional areas where forest protection or restoration (open and closed forests, as well as woodlands) could be undertaken for reducing tsunami risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.
Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for insta"
"MX-83EC2-E995F-FC374","rt","Forest to reduce tsunami risk - Others - 2022 - National","This dataset shows additional areas where forest protection or restoration (open and closed forests, as well as woodlands) could be undertaken for reducing tsunami risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.
Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for insta"
"MX-8F9EB-10D0B-93564","rt","Forests distribution - 2022","This dataset shows the forest global coverage. It is derived from the The MODIS Terra and Aqua Combined Land Cover Type Version 6 (MCD12Q1). The year 2020 of the Land Cover Type Yearly L3 Global 500m is used, from which seven IGBP classes are selected (""Forests"", ""Closed Shrublands"" and ""Woody Savannas"").
  "
"MX-04E66-2E550-81068","rt","Landslide exposure - 2022","This dataset includes an estimate of the annual physical exposition to landslide triggered by earthquakes and precipitations. It is based on two sources:
1) A landslide hazard frequency layer: the combination of trigger and susceptibility defined by six parameters: slope factor, lithological (or geological) conditions, soil moisture condition, vegetation cover, precipitation and seismic conditions. This product was designed by International Centre for Geohazards /NGI for the Global Assessment Re"
"MX-05247-89997-66A64","rt","Landslide frequency - 2022","This dataset includes an estimate of the annual frequency of landslide triggered by both earthquakes and precipitations. It depends on the combination of trigger and susceptibility defined by six parameters: slope factor, lithological (or geological) conditions, soil moisture condition, vegetation cover, precipitation and seismic conditions. Unit is expected annual probability and percentage of pixel of occurrence of a potentially destructive landslide event x 1000000. This product was designed "
"MX-559C5-58858-96A69","rt","Mangrove restoration opportunities to reduce tropical cyclone surge risk - 2022","This dataset shows the areas where mangroves restoration could be undertaken for reducing tropical cyclone surge exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-EF75A-E6BC8-17D70","rt","Mangrove restoration opportunities to reduce tropical cyclone surge risk - 2022 - National","This dataset shows the areas where mangroves restoration could be undertaken for reducing tropical cyclone surge exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-56CF7-D69A6-3316B","rt","Mangrove restoration opportunities to reduce tsunami risk - 2022","This dataset shows the areas where mangroves restoration  could be undertaken for reducing tsunami exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-C3B16-B5E90-9956D","rt","Mangrove restoration opportunities to reduce tsunami risk - 2022 - National","This dataset shows the areas where mangroves restoration  could be undertaken for reducing tsunami exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-AB65A-A5AD3-06D68","rt","Mangroves distribution - 2022","Global Mangrove Watch (1996 - 2016) 

    The Global Mangrove Watch (GMW) was initiated as part of the JAXA Kyoto & Carbon Initiative in 2011. It is led by Aberystwyth University and solo Earth Observation, in collaboration with Wetlands International, the International Water Management Institute and the UN Environment World Conservation Monitoring Centre (U.K.). The African part is supported by DOB Ecology through the Mangrove Capital Africa project. The GMW aims to provide geospatial informati"
"MX-9B434-327F8-0F56E","rt","Mangroves protection opportunities to reduce tropical cyclone surge risk - 2022","This dataset shows the areas where mangrove protection could be undertaken for reducing tropical cyclone surge physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-AA72C-D59E2-30C7F","rt","Mangroves protection opportunities to reduce tropical cyclone surge risk - 2022 - National","This dataset shows the areas where mangrove protection could be undertaken for reducing tropical cyclone surge physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-FA538-8E6CA-3C56B","rt","Mangroves protection opportunities to reduce tsunami risk - 2022","This dataset shows the areas where mangrove protection could be undertaken for reducing flood physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-92485-67D77-E9662","rt","Mangroves protection opportunities to reduce tsunami risk - 2022 - National","This dataset shows the areas where mangrove protection could be undertaken for reducing flood physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-087C4-CB5F3-1C865","rt","Mangroves to reduce tropical cyclone surge risk - Others - 2022","This dataset shows additional areas where mangrove protection or restoration could be undertaken for reducing tropical cyclone surge risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.

Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for instance. White cells show areas wi"
"MX-B27FF-EF4BC-F697C","rt","Mangroves to reduce tropical cyclone surge risk - Others - 2022 - National","This dataset shows additional areas where mangrove protection or restoration could be undertaken for reducing tropical cyclone surge risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.

Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for instance. White cells show areas wi"
"MX-75985-60F21-5C060","rt","Mangroves to reduce tsunami risk - Others - 2022","This dataset shows additional areas where mangrove protection or restoration could be undertaken for reducing tsunami risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.

Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for instance. White cells show areas with hazard popul"
"MX-DDAB4-9C9D1-F2765","rt","Mangroves to reduce tsunami risk - Others - 2022 - National","This dataset shows additional areas where mangrove protection or restoration could be undertaken for reducing tsunami risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.

Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for instance. White cells show areas with hazard popul"
"MX-6YLMU-U4WXC-2JJD7","rt","Population distrbution (HRSL-GSHL) 2022","Population density map for 2022 at 30arcsec resolution. 
<br><br>
The layer integrates data from the High Resolution Settlement Layer (HRSL) - META (originally Facebook), the Global Human Settlement Layer (GHSL) - JRC, and the national population count for 2018 reported on the World Population Prospects 2019.
<br><br>
Using the country borders (level 0) of the UN Cartographic Section 2020 (BNDA_CTY), countries with full data coverage from HRSL use it. Countries with missing or partial coverage f"
"MX-4918F-8A0E5-AF76B","rt","Rivers flood exposure - 2022","This datasets includes an estimate of the annual physical exposition to river floods for 25 to 1,000 years return period model. It is based on two datasets:
1) An estimate of the annual frequency of river floods, for a 25 to 1,000 years return period model. It is based on:
 A Global Flood Model in the Context of the Global Assessment Report 2015
    Rudari, Roberto (CIMA Research Foundation, Hydrology, Savona, Italy); Campo, Lorenzo (CIMA Research Foundation, Hydrology, Savona, Italy); Silvestro"
"MX-21A2A-BED99-D8D78","rt","Rivers flood frequency - 2022","This dataset includes an estimate of the annual frequency of river floods, for a 25 to 1,000 years return period model. It is based on:

 A Global Flood Model in the Context of the Global Assessment Report 2015

    Rudari, Roberto (CIMA Research Foundation, Hydrology, Savona, Italy); Campo, Lorenzo (CIMA Research Foundation, Hydrology, Savona, Italy); Silvestro, Francesco (CIMA Research Foundation, Hydrology, Savona, Italy); Herold, Christian (UNEP - GRID, Geneva, Switzerland) 

Abstract

The G"
"MX-CF10F-78C2C-B5C6E","rt","Seagrass distribution - 2022","

This dataset shows the global distribution of seagrasses, and is composed of two subsets of point and polygon occurrence data. The data were compiled by UN Environment World Conservation Monitoring Centre in collaboration with many collaborators (e.g. Frederick Short of the University of New Hampshire), organisations (e.g. OSPAR), and projects (e.g. the European project Mediterranean Sensitive Habitats “Mediseh”), across the globe (full list available in accompanying metadata table within the "
"MX-0B082-97353-AD079","rt","Seagrass protection opportunities to reduce tropical cyclone surge risk - 2022","This dataset shows the areas where sea grasses protection could be undertaken for reducing tropical cyclone surge physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-1D8AB-D8E9B-60D6B","rt","Seagrass protection opportunities to reduce tropical cyclone surge risk - 2022 - National","This dataset shows the areas where sea grasses protection could be undertaken for reducing tropical cyclone surge physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-12A91-F6B19-80B72","rt","Seagrass protection opportunities to reduce tsunami risk - 2022","This dataset shows the areas where sea grasses protection could be undertaken for reducing tsunami physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-EC098-EF7C6-71A7D","rt","Seagrass protection opportunities to reduce tsunami risk - 2022 - National","This dataset shows the areas where sea grasses protection could be undertaken for reducing tsunami physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-52C44-A97A7-0617D","rt","Seagrass restoration opportunities to reduce tropical cyclone surge risk - 2022","This dataset shows the areas where sea grasses restoration could be undertaken for reducing tropical cyclone surge physical exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-394E6-2767C-D7875","rt","Seagrass restoration opportunities to reduce tropical cyclone surge risk - 2022 - National","This dataset shows the areas where sea grasses restoration could be undertaken for reducing tropical cyclone surge physical exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-04186-A28DC-E476A","rt","Seagrass restoration opportunities to reduce tsunami risk - 2022","This dataset shows the areas where sea grasses restoration  could be undertaken for reducing tsunami physical exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-46939-D6E5D-C257D","rt","Seagrass restoration opportunities to reduce tsunami risk - 2022 - National","This dataset shows the areas where sea grasses restoration  could be undertaken for reducing tsunami physical exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-D88EA-3ADDF-18F66","rt","Seagrass to reduce tropical cyclone surge risk - Others - 2022","This dataset shows additional areas where sea grasses protection or restoration could be undertaken for reducing tropical cyclone surge risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.

Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for instance. White cells show areas"
"MX-9908E-FA50C-60D61","rt","Seagrass to reduce tropical cyclone surge risk - Others - 2022 - National","This dataset shows additional areas where sea grasses protection or restoration could be undertaken for reducing tropical cyclone surge risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.

Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for instance. White cells show areas"
"MX-7C64D-4DCEC-08562","rt","Seagrass to reduce tsunami risk - Others - 2022","This dataset shows additional areas where sea grasses protection or restoration could be undertaken for reducing tsunami risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.

Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for instance. White cells show areas with hazard po"
"MX-42A99-2E26F-E077F","rt","Seagrass to reduce tsunami risk - Others - 2022 - National","This dataset shows additional areas where sea grasses protection or restoration could be undertaken for reducing tsunami risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.

Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for instance. White cells show areas with hazard po"
"MX-I08Y6-WJWIN-XAIJ2","rt","Tree Canopy Change 1982 - 2016","This analysis of 35 years’ worth of satellite data (at approximately 25 square kilometer resolution at the equator) provides a comprehensive record of global land-change dynamics during the period 1982–2016. Contrary to the prevailing view that forest area has declined globally — tree cover has increased by 2.24 million km2 (+7.1% relative to the 1982 level), largely the result of a net loss in the tropics being outweighed by a net gain in the extratropics. Global bare ground cover has decreased"
"MX-10AE5-746D1-76777","rt","Tropical cyclone exposure - 2022","This dataset includes an estimation of the annual physical exposition to tropical cyclones. It is based on two sources: 
1) Estimation of global tropical cyclone wind speed probabilities using the STORM dataset.
Nadia Bloemendaal, Hans de Moel, Sanne Muis, Ivan D. Haigh & Jeroen C. J. H. Aerts 
Tropical cyclones (TC) are one of the deadliest and costliest natural disasters. To mitigate the impact of such disasters, it is essential to know extreme exceedance probabilities, also known as return pe"
"MX-E180C-5B012-AFC77","rt","Tropical cyclone frequency - 2022","This dataset includes an estimate of tropical cylcone frequency. It is based on:

Estimation of global tropical cyclone wind speed probabilities using the STORM dataset.
Nadia Bloemendaal, Hans de Moel, Sanne Muis, Ivan D. Haigh & Jeroen C. J. H. Aerts 

Tropical cyclones (TC) are one of the deadliest and costliest natural disasters. To mitigate the impact of such disasters, it is essential to know extreme exceedance probabilities, also known as return periods, of TC hazards. In this paper, we d"
"MX-F0DEE-12D97-6447B","rt","Tsunami exposure - 2022","This dataset includes an estimation of the annual physical exposition to tsunamis. It is based on three sources:
1) A comprehensive list of reports and scientific papers compiled and utilized in producing tsunami hazard maps as well as finding return periods of future events.
2) Applying numerical tsunami models and zooming on selected areas.
3) Population density map (HRSL-GSHL) 2022.
The layer integrates data from the High Resolution Settlement Layer (HRSL) - META (originally Facebook), the Gl"
"MX-D7314-A5044-83377","rt","Tsunami frequency - 2022","This dataset includes an estimate of tsunami frequency. It is based on two sources: 1) A comprehensive list of reports and scientific papers compiled and utilized in producing tsunami hazard maps as well as finding return periods of future events. 2) Applying numerical tsunami models and zooming on selected areas. Unit is expected affected percentage of each pixel over a minimum return period of 500 years. This product was designed by International Centre for Geohazards /NGI for the Global Asses"
