Category,Needed by UNDRR?,GRI layer,GRI source,GRI source URL,MapX status,MapX view ID,MapX view title,MapX project,Notes
Exposure,,Population,JRC GHSL (GHS-POP),https://ghsl.jrc.ec.europa.eu/ghs_pop2023.php,Yes,MX-YDEBA-4EJDH-AVY2Y; MX-6YLMU-U4WXC-2JJD7,"GHS population grid (2020); Population distribution (HRSL 2022)",MX-YBJ-YYF-08R-UUR-QW6; MX-2LD-FBB-58N-ROK-8RH,"Two versions: JRC GHSL (HOME project) and HRSL/GHSL hybrid (Eco-DRR)."
Exposure,,Buildings,JRC GHSL (GHS-BUILT),https://ghsl.jrc.ec.europa.eu/ghs_buS2023.php,Yes,MX-GY2X3-DHU9W-VMEBC,GHS built-up volume grid (2020),MX-KVV-ANS-WBN-QXR-S71,"Found via search. JRC GHSL built-up volume grid."
Exposure,,Roads & Rail,OpenStreetMap (Oct 2021 extract),https://www.openstreetmap.org,Not found in MapX,,,,"No global roads/rail layer found. Country-specific only."
Exposure,,Power (transmission),Gridfinder,https://gridfinder.org,Not found in MapX (global),MX-E9KI4-JBD9Y-9DF39,Sudan Electricity Grid,MX-M5H-L8I-1AL-ZSQ-HXD,"Only country-specific grid layers (Sudan). No global Gridfinder layer."
Exposure,,Power (plants),WRI Global Powerplants Database,https://datasets.wri.org/dataset/globalpowerplantdatabase,Yes,MX-LRCU5-5J50K-11O8V,Global Power Plants Database,MX-5Z8-45E-K4I-SKH-75H,"Confirmed via search. In a different MapX project."
Exposure,,Industry,,,Not found in MapX,,,,"No industrial facility layers found."
Exposure,,Healthcare,,,Not found in MapX,,,,"No healthcare facility layers found."
Exposure,,Land Cover,,,Yes,MX-KG1JB-OI13A-6RHKN,WorldCover 10m (ESA 2021),MX-YBJ-YYF-08R-UUR-QW6,"ESA WorldCover at 10m resolution. Sentinel-1/2 based."
Exposure,,Topography,,,Found (regional only),MX-OHBLR-MHOQC-DFJW3; MX-MUNQ1-H17MN-GTN3C,"MERIT Hydro adjusted elevations; South Sudan SRTM 30m","MX-CDC-CTV-4PZ-VQD-OZ3; MX-2VV-NEC-E0D-1EQ-GCX","MERIT Hydro is global hydrological DEM. SRTM is country-specific."
Exposure,,Soil Organic Carbon,,,Yes,MX-5IJLO-G6KJB-IE8GR; MX-BNMD4-90400-86GUA,"Global Soil Organic Carbon Map; Mangrove Soil Organic Carbon",MX-EDD-M46-8XZ-MAG-RLC,"Global SOC map confirmed. Also mangrove-specific SOC."
Vulnerability,,Human Development (Subnational),Global Data Lab Subnational HDI,https://globaldatalab.org/shdi/,Not found in MapX,,,,"No subnational HDI. Related: life expectancy and schooling layers in Mediterranean project."
Vulnerability,,Human Development (Grid),Gridded HDI,,Not found in MapX,,,,
Vulnerability,,Relative Wealth Index,Meta Data for Good,https://dataforgood.facebook.com/dfg/tools/relative-wealth-index,Not found in MapX,,,,
Vulnerability,,Travel Time to Healthcare,,,Not found in MapX,,,,
Vulnerability,,Biodiversity Intactness,,,Yes,MX-YG4N0-QFYB2-2TP8E,Biodiversity Intactness Index,MX-EDD-M46-8XZ-MAG-RLC,"Found via search. In a different MapX project."
Vulnerability,,Forest Landscape Integrity,,,Related only,MX-FX1HT-Z7KXL-8X22K,Intact Forest Landscapes (IFLs),MX-2LD-FBB-58N-ROK-8RH,"IFLs are related but not the same as Forest Landscape Integrity Index."
Vulnerability,,Protected Areas (WDPA),UNEP-WCMC / IUCN,https://www.protectedplanet.net,Yes,"MX-E0C30-K480J-EIRZX; MX-6M8ZV-4EJRP-GMHNS; MX-Y68ZB-P9UO1-8B7EG","Marine and Terrestrial Protected Areas; Marine Protected Areas; Terrestrial Protected Areas","MX-YBJ-YYF-08R-UUR-QW6; MX-2LD-FBB-58N-ROK-8RH","Combined layer in HOME; split marine/terrestrial in Eco-DRR."
Risk,,Population Exposure,Computed: hazard x population,,Partial,MX-4918F-8A0E5-AF76B; MX-10AE5-746D1-76777; MX-8C214-22C3A-82165,"Flood exposure; Cyclone exposure; Surge exposure",MX-2LD-FBB-58N-ROK-8RH,"Pre-computed exposure layers exist per hazard. Different methodology from GRI."
Risk,,Infrastructure Risk,Computed: hazard x infrastructure,,Found,MX-KEG0W-U2098-JKIYJ; MX-XK22R-NU1PG-SRK57; MX-HHJW9-MZM7O-8M1H4,"Total AAL per Building & Infrastructure (lower/upper/existing)",MX-CDC-CTV-4PZ-VQD-OZ3,"Average Annual Loss layers for buildings and infrastructure. Different methodology from GRI but covers similar ground."
Risk,,Regional Summary,Computed: aggregated,,Not found in MapX,,,,
Adaptation,,Nature-Based Solutions,Oxford / GCA (preliminary),,Related,Multiple (~40 views),"Forest/Mangrove/Coral/Seagrass protection + restoration opportunities per hazard type",MX-2LD-FBB-58N-ROK-8RH,"Eco-DRR has ~40 NbS layers. Different from Oxford/GCA but similar concept."
